3MINDIA,ASHOKLEY,BAJFINANCE,BHARATFORG,GAIL,GMRINFRA,HDFCBANK,HINDPETRO,HINDUNILVR,IOC,ITC,JINDALSTEL,JSWSTEEL,JUBILANT,LT,M&M,MINDTREE,NMDC,PFC,RAJESHEXPO,RELAXO,RELIANCE,SBIN,SHREECEM,SUNTV,TATASTEEL,TCS,ULTRACEMCO,VOLTAS,WIPRO
0.000101381,0.00023665,0.000146036,0.000669788,0.00122227,0.000240416,0.00064766,0.00159675,6.83E-05,0.00137045,0.000340908,0.000263349,0.00372769,0.000152098,0.000639832,0.000635845,6.53E-05,0.00020222,0.000696296,0.000103481,0.000100456,0.000163333,0.000239459,0.000114222,0.000163511,0.000263876,6.29E-05,0.00015268,0.000216507,0.000822388
9.39E-05,0.000205063,0.000129515,0.00107004,0.00236197,0.000163775,0.00103468,0.00292332,6.19E-05,0.00297407,0.000554387,0.000207888,0.00707165,0.000123599,0.000635845,0.00172204,3.66E-05,0.000164512,0.00104996,6.11E-05,9.63E-05,0.000135418,0.000155818,9.77E-05,0.000115544,0.00025614,0.000507307,0.000133243,0.000134925,0.00149566
6.43E-05,8.42E-05,9.41E-05,8.27E-05,2.03E-05,0.000104689,2.82E-05,7.02E-08,5.36E-05,6.48E-07,2.88E-05,0.000127807,4.00E-05,7.70E-05,6.53E-05,3.66E-05,0.000514791,6.90E-05,6.55E-05,6.12E-05,8.79E-05,7.95E-05,8.14E-05,6.88E-05,6.90E-05,9.72E-05,0.000114,6.97E-05,9.25E-05,6.57E-05
9.16E-05,0.000215254,0.000162323,0.000231531,0.000234109,0.000238082,0.000150921,0.000312434,4.20E-05,0.000248075,0.000104581,0.000311813,0.000649398,0.000174542,0.00020222,0.000164512,6.90E-05,0.000698654,0.000257839,0.00013097,0.000112328,0.000153056,0.00021565,0.000109802,0.000174894,0.000282313,4.53E-05,0.000128209,0.000185013,0.000131539
0.000105105,0.000242152,0.000178119,0.00111155,0.00227296,0.000319922,0.001024,0.00303454,5.47E-05,0.00261623,0.000561959,0.000312073,0.00716056,0.000189046,0.000696296,0.00104996,6.55E-05,0.000257839,0.00159568,0.000102875,0.000117596,0.000167203,0.000286236,0.000110303,0.000195768,0.000311932,5.50E-05,0.000165953,0.000230944,0.00150479
7.28E-05,0.000120654,0.000123458,0.000100332,4.13E-05,0.000135184,4.69E-05,3.81E-05,1.98E-05,9.82E-06,4.07E-05,0.000142654,9.23E-05,0.00013286,0.000103481,6.11E-05,6.12E-05,0.00013097,0.000102875,0.00065571,0.000103882,9.58E-05,0.000129268,7.44E-05,0.000111193,0.000162155,5.63E-05,6.89E-05,0.000139848,1.99E-05
8.11E-05,0.00014771,0.000120218,0.000126817,5.71E-05,0.000130235,7.54E-05,7.16E-05,3.45E-05,5.07E-05,4.90E-05,0.00014894,0.000138992,0.000125629,0.000100456,9.63E-05,8.79E-05,0.000112328,0.000117596,0.000103882,0.000769284,8.07E-05,0.000108121,7.06E-05,0.000103263,0.000136154,3.47E-05,8.23E-05,0.000120199,5.00E-05
7.23E-05,0.000161044,0.00012578,0.000148653,0.000120602,0.000205027,0.000118709,0.000135047,7.49E-05,0.000107478,7.31E-05,0.000230927,0.000197105,0.000129292,0.000163333,0.000135418,7.95E-05,0.000153056,0.000167203,9.58E-05,8.07E-05,0.000343587,0.000184189,9.54E-05,0.000132221,0.000208923,0.000104087,0.000109955,0.000159072,8.19E-05
0.000114622,0.000262715,0.000199167,0.00019322,0.000121714,0.000298924,0.000136126,0.000162307,6.63E-05,0.000105052,8.64E-05,0.000311662,0.000229944,0.000157466,0.000239459,0.000155818,8.14E-05,0.00021565,0.000286236,0.000129268,0.000108121,0.000184189,0.000505789,0.00013163,0.000205479,0.000274281,6.50E-05,0.000157123,0.000242195,4.98E-05
6.04E-05,0.000127251,0.000127079,0.000105396,6.80E-05,0.000136442,7.90E-05,9.00E-05,6.58E-05,6.85E-05,5.51E-05,0.000170862,0.000119081,9.98E-05,0.000114222,9.77E-05,6.88E-05,0.000109802,0.000110303,7.44E-05,7.06E-05,9.54E-05,0.00013163,0.000357146,0.000107232,0.000142129,5.24E-05,0.000137285,0.000125546,4.23E-05
9.77E-05,0.000202891,0.000182347,0.000194364,0.000105514,0.000251001,0.000110097,0.000134957,6.43E-05,9.19E-05,7.89E-05,0.000289647,0.000197322,0.00016642,0.000163511,0.000115544,6.90E-05,0.000174894,0.000195768,0.000111193,0.000103263,0.000132221,0.000205479,0.000107232,0.000759934,0.000216265,5.22E-05,0.000123145,0.00019944,4.80E-05
0.000126124,0.000276469,0.000201825,0.000277183,0.000261406,0.000317398,0.000175935,0.000284479,7.70E-05,0.000249891,0.000121726,0.000467424,0.000753814,0.000171977,0.000263876,0.00025614,9.72E-05,0.000282313,0.000311932,0.000162155,0.000136154,0.000208923,0.000274281,0.000142129,0.000216265,0.000615344,0.000119284,0.000175353,0.000286315,0.000162017
4.00E-05,5.38E-05,5.87E-05,7.04E-05,0.000187728,5.67E-05,4.90E-05,3.24E-07,5.17E-05,0.000454343,4.78E-05,7.81E-05,4.89E-05,5.93E-05,6.29E-05,0.000507307,0.000114,4.53E-05,5.50E-05,5.63E-05,3.47E-05,0.000104087,6.50E-05,5.24E-05,5.22E-05,0.000119284,0.000751008,4.62E-05,6.13E-05,0.000125284
8.29E-05,0.000167686,0.000153282,0.000137532,0.000103976,0.000177915,0.000101923,0.000135763,6.55E-05,9.42E-05,7.83E-05,0.000207522,0.000186803,0.000104234,0.00015268,0.000133243,6.97E-05,0.000128209,0.000165953,6.89E-05,8.23E-05,0.000109955,0.000157123,0.000137285,0.000123145,0.000175353,4.62E-05,0.000326982,0.000160809,6.64E-05
0.000127139,0.000271222,0.000217558,0.00018216,0.000100771,0.000292076,0.000128243,0.000111823,6.34E-05,6.44E-05,6.66E-05,0.000299293,0.000219533,0.00017054,0.000216507,0.000134925,9.25E-05,0.000185013,0.000230944,0.000139848,0.000120199,0.000159072,0.000242195,0.000125546,0.00019944,0.000286315,6.13E-05,0.000160809,0.000662449,4.53E-05
3.96E-05,4.91E-05,1.36E-05,0.00150613,0.00348817,6.25E-05,0.00148708,0.00464103,4.58E-05,0.00401018,0.000801745,9.94E-05,0.0114442,6.78E-05,0.000822388,0.00149566,6.57E-05,0.000131539,0.00150479,1.99E-05,5.00E-05,8.19E-05,4.98E-05,4.23E-05,4.80E-05,0.000162017,0.000125284,6.64E-05,4.53E-05,0.0025744
